scheme_id,scheme_name,scheme_category,scheme_category_clean,issuing_authority,issuing_authority_normalized,min_age,max_age,max_annual_income,min_age_inferred,max_age_inferred,income_inferred,allowed_occupations,allowed_social_categories,required_disability_status,state_restricted_to_normalized,gender_restricted_to,is_national_scheme,eligibility_text_clean,benefit_summary,benefit_value_estimate,benefit_value_numeric,benefit_currency,required_documents,application_url,official_source_url,last_verified_date,eligibility_verified,data_quality_score
nfbs-014,National Family Benefit Scheme,other,other,Ministry of Rural Development,Ministry of Rural Development,18,59,100000,,,,,,,All India,any,True,Manually verified seed scheme.,One-time assistance to a below-poverty-line household on the death of its primary breadwinner.,"₹20,000 (one-time)",20000.0,₹,aadhaar;income_certificate;ration_card,https://nsap.nic.in/,https://nsap.nic.in/,2026-07-10,True,88.2
pm-scholarship-obc-015,Post-Matric Scholarship for OBC Students,education,education,Ministry of Social Justice & Empowerment,Ministry of Social Justice & Empowerment,15,,150000,,,,student,obc,,All India,any,True,Manually verified seed scheme.,Financial assistance to OBC students pursuing post-matriculation studies.,"₹15,000/year",15000.0,₹,aadhaar;income_certificate;caste_certificate,https://scholarships.gov.in/,https://scholarships.gov.in/,2026-07-10,True,94.1
disability-scholarship-016,Scholarship for Students with Disabilities,disability,disability,Department of Empowerment of Persons with Disabilities,Department of Empowerment of Persons with Disabilities,14,35,250000,,,,student,,physical;visual;hearing;intellectual;multiple,All India,any,True,Manually verified seed scheme.,Scholarship supporting students with benchmark disabilities in higher education.,"₹30,000/year",30000.0,₹,aadhaar;income_certificate,https://scholarships.gov.in/,https://scholarships.gov.in/,2026-07-10,True,94.1
widow-pension-017,Indira Gandhi National Widow Pension Scheme,pension,pension,Ministry of Rural Development,Ministry of Rural Development,40,79,100000,,,,,,,All India,female,True,Manually verified seed scheme.,Monthly pension for widows aged 40-79 belonging to below-poverty-line households.,₹300-500/month,500.0,₹,aadhaar;income_certificate,https://nsap.nic.in/,https://nsap.nic.in/,2026-07-10,True,88.2
sukanya-018,Sukanya Samriddhi Yojana,women_child,women_and_child,Ministry of Finance,Ministry of Finance,0,10,,,,,,,,All India,female,True,Manually verified seed scheme.,Small savings scheme for a girl child with attractive interest and tax benefits.,8.2% annual interest,8.2,₹,aadhaar,https://www.nsiindia.gov.in/,https://www.nsiindia.gov.in/,2026-07-10,True,82.4
tribal-grant-019,Pre-Matric Scholarship for ST Students,education,education,Ministry of Tribal Affairs,Ministry of Tribal Affairs,10,18,250000,,,,student,st,,All India,any,True,Manually verified seed scheme.,Pre-matriculation scholarship for Scheduled Tribe students in classes 9 and 10.,"₹8,000/year",8000.0,₹,aadhaar;income_certificate;caste_certificate,https://scholarships.gov.in/,https://scholarships.gov.in/,2026-07-10,True,100.0
ews-housing-urban-020,PMAY-Urban (EWS/LIG),housing,housing,Ministry of Housing & Urban Affairs,Ministry of Housing & Urban Affairs,18,,300000,,,,,ews;general;obc;sc;st,,All India,any,True,Manually verified seed scheme.,Interest subsidy on home loans for economically weaker sections and low-income urban households.,"Up to ₹267,000 interest subsidy",267000.0,₹,aadhaar;income_certificate,https://pmay-urban.gov.in/,https://pmay-urban.gov.in/,2026-07-10,True,88.2
ira-wrflsncs,"Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme",agriculture,agriculture,"Fisheries and Fishermen Welfare Department, Puducherry","Fisheries and Fishermen Welfare Department, Puducherry",18,60,,,,,,,,Puducherry,any,False,- The applicant should be the family (legal heir) of the missing fisherman. - The missing fisherman should have been a resident of the Union territory of Puducherry. - The missing fisherman must have lost his/her life while fishing. - The missing fisherman must have been in the age group of 18-60 years. - The missing fisherman must not have been a beneficiary of the old age pension scheme. - The missing fisherman should have enrolled as a member of the Fishermen/Fisherwomen Co-operative Society.,"The scheme ""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"" is introduced to extend financial assistance to the fishermen's f...","₹ 1,00,000",100000.0,₹,domicile_certificate;ration_card,https://fisheries.py.gov.in/sites/default/files/immediate20relief20notification.pdf,https://www.myscheme.gov.in/schemes/ira-wrflsncs,2026-07-10,False,76.5
astpss,AICTE SHORT TERM TRAINING PROGRAMME-SFURTI SCHEME,education,education,Ministry of Education - Department Of Higher Education,Ministry of Education - Department Of Higher Education,,,,,,,student,,,All India,any,True,- The institution should be AICTE approved.,Short Term Training Programme-SFURTI Program aims to provide financial assistance from AICTE to the institutions for conducting faculty and student trainings to enable faculty members and students ...,"₹ 4,00,000",400000.0,₹,aadhaar;bank_passbook;caste_certificate;income_certificate;education_marksheet,https://www.aicte-india.org/sites/default/files/sfurti/STTP_SFURTI%20scheme%20doc%20amnded%20on%2010%20dec%202021.pdf,https://www.myscheme.gov.in/schemes/astpss,2026-07-10,False,70.6
baepsicodouldwact,Burial and Ex-gratia Payment Scheme in Case of Death of Unregistered Laborer During Work at Construction Site,other,other,Labour Department,Labour,,,,,,,daily_wage,,,Madhya Pradesh,any,False,1. The deceased construction worker should have been registered with the Madhya Pradesh Building and Other Construction Workers Welfare Board (MPBOCWWB). 1. The deceased construction worker should have held an active regular membership. 1. The only person who is a legal heir/dependent family member of the deceased registered worker is eligible to apply under the scheme. 1. The deceased worker should have valid identity card.,"Launched in 2014, the ""Funeral and Ex-gratia Payment Scheme for Unregistered Laborers"" is a welfare scheme by the M.P. Building and Other Construction Workers Welfare Board, Government of Madhya Pr...","₹3,000",3000.0,₹,aadhaar;bank_passbook;disability_certificate;ration_card,https://labour.mp.gov.in/Public/Pages/Schemes/MratyuSahayta.aspx,https://www.myscheme.gov.in/schemes/baepsicodouldwact,2026-07-10,False,70.6
ctms,Consortia & Tender Marketing Scheme,other,other,"Ministry Of Micro, Small and Medium Enterprises","Ministry Of Micro, Small and Medium Enterprises",,,,,,,,,,All India,any,True,"- Micro & Small Enterprises registered with NSIC under its Single Point Registration Scheme (SPRS). Or, - Micro & Small Enterprises who apply to get themselves registered with NSIC under the SPRS along with all required documents in terms of the scheme. - Their factory/unit should be inspected before filing of tender in terms of the Tender Marketing Scheme.",The scheme aims to facilitate Micro and Small Enterprises (MSEs) in marketing their products and services through individual or collective participation in tenders via consortia. It helps MSEs secu...,"₹ 1,00,00,000",10000000.0,₹,aadhaar;bank_passbook;ration_card;domicile_certificate;caste_certificate,https://www.nsic.co.in/pdfs/CTMS_scheme_revised_06062022.pdf,https://www.myscheme.gov.in/schemes/ctms,2026-07-10,False,64.7
fpgsdau,Fellowship for the Post-Graduate Students in Various Faculties Various Faculties of Sardarkrushinagar Dantiwada Agricultural University,education,education,"Agriculture, Farmers Welfare and Cooperation Department","Agriculture, Farmers Welfare and Cooperation",,28,,28,28,,farmer;student,,,Gujarat,any,False,- The applicant must be a student. - The applicant must be enrolled in a Master’s or Ph.D. program at Sardarkrushinagar Dantiwada Agricultural University (SDAU). - The applicant must have secured a first-class or its equivalent OGPA in the qualifying undergraduate or postgraduate examination from a State Agricultural University in Gujarat. - The applicant must be 28 years of age or below at the time of application. - The applicant must maintain a minimum OGPA of 7.5 and must not receive an “F” (Fail) or “I” (Incomplete) grade during the course of study.,"The scheme ""Fellowship for the Post-Graduate Students in Various Faculties Various Faculties of Sardarkrushinagar Dantiwada Agricultural University"" provides a monthly fellowship to meritorious Pos...","₹5,000",5000.0,₹,aadhaar;bank_passbook,https://mariyojana.gujarat.gov.in/Schemeatoz.aspx,https://www.myscheme.gov.in/schemes/fpgsdau,2026-07-10,False,76.5
free-ug-students-only,"Freeship less than ₹1,00,000 (UG students only)",education,education,Department Of Education,Department Of Education,,,100000.0,,,,student,,,Uttarakhand,any,False,"- The applicant should be enrolled as an undergraduate student at Govind Ballabh Pant University. - The applicant’s annual family income should be less than ₹1,00,000. - The applicant must be among the best-performing students as per the university’s merit guidelines. - The applicant must submit the application in the prescribed format within the deadline.","The scheme ""Freeship Less than ₹1,00,000 only for UG students"" by the Dean Student Welfare, GBPUAT, Pantnagar aims to support meritorious undergraduate students from low-income families. This Frees...",Eligible students get a 100% tuition...,100.0,₹,aadhaar;bank_passbook;income_certificate;voter_id,https://uk.gov.in/department92/library_file/file-30-01-2025-04-25-16.pdf,https://www.myscheme.gov.in/schemes/free-ug-students-only,2026-07-10,False,76.5
gsfe,Garuda Scheme for Funeral Expense,other,other,Andhra Pradesh Brahmin Welfare Corporation,Andhra Pradesh Brahmin Welfare Corporation,,,75000.0,,,,,general,,Andhra Pradesh,any,False,"1. The applicant should be a close relative of the deceased (Spouse/Son/Daughter/Parent/Brother/Grandson). 1. The applicant should provide a self-declaration that he/she is the legal heir of the deceased. 1. The applicant should belong to the Brahmin community and reside in Andhra Pradesh. 1. The applicant's annual family income should not exceed ₹75,000/-. 1. The applicant should not have availed himself/ herself of any amount under any other government scheme for the same purpose.","The ""Garuda Scheme for Funeral Expenses"" aims to provide financial assistance for funeral expenses of a deceased Brahmin in their family, where the family has no other means to meet the same. This ...","₹10,000",10000.0,₹,aadhaar;caste_certificate;domicile_certificate;income_certificate;ration_card,https://www.andhrabrahmin.ap.gov.in/down/garuda2020.pdf,https://www.myscheme.gov.in/schemes/gsfe,2026-07-10,False,76.5
ifticmwstc,Incentive For The Intra Caste Marriage within Scheduled Tribe Community,other,other,Tribal Welfare Department,Tribal Welfare,,,200000.0,,,,,st,,Karnataka,any,False,"1. The couple should be residing in Karnataka. 1. Both the partners should be from the Scheduled Tribe (ST) community but from different sub-castes. 1. The combined annual income of the couple must be less than ₹2,00,000/-. 1. The couple must apply to this scheme within one year of their marriage. 1. The marriage should have taken place on or after 1st April 2018.","The scheme ""Incentive for Intra Caste Marriage within the Scheduled Tribe Community"" was launched by the Tribal Welfare Department, Government of Karnataka. The scheme provides an incentive of ₹2,0...","₹2,00,000",200000.0,₹,aadhaar;bank_passbook;caste_certificate;domicile_certificate;income_certificate,https://twd.karnataka.gov.in/,https://www.myscheme.gov.in/schemes/ifticmwstc,2026-07-10,False,76.5
ismpsscis,Incentive Scheme for MSMEs in Powerloom Sector: State Capital Investment Subsidy,financial_inclusion,financial_inclusion,"Micro, Small & Medium Enterprises and Textiles Department","Micro, Small & Medium Enterprises and Textiles",,,,,,,,,,West Bengal,any,False,"- The Scheme shall be generally applicable to all micro, small, and medium enterprises (MSMEs) in the powerloom sector. - Enterprises must have started production from 01.01.2022 to 31.12.2024. - Enterprises should have executed a Four-party agreement with the Directorate of Textiles, Financial institution and Tantuja. - The units should be a private sector, cooperative sector and joint sector undertaking as also companies/undertakings - owned and managed by the State Government and the Industrial SHGs. - The project should be covered by a detailed feasibility report/project prepared for the purpose. - The project should have been approved and sanctioned by a Central Financial Institution or Commercial Banks or State Financial Institutions.","“State Capital Investment Subsidy” incentives under “Incentive Scheme for MSMEs in Powerloom Sector” scheme implemented by the Dept. of MSME & T, Government of West Bengal, aims to provide subsidy ...",- 20% of Fixed Capital Investment...,20.0,₹,aadhaar;bank_passbook;caste_certificate;ration_card;income_certificate,https://wbmsmet.gov.in/home/download/YzA0YzdiMjc0YjAwYjBiMDgwYTRjYmRkOTU1MDY1NGQyNTNjM2YyYWYxMDRhNTkyYjRiMWI1YmVkZDYyOTZlN2YwNDc3ZDgwMDM5YzgxYjhmZWZiMWY2ODI0ZTNjYTUzMjU4N2YwYjViMjJiZTllZjAzYmM3NTRiZTY4ZDk0MTVjVmtvdlJCcjA0ZlpLYjZkbTlPQ0hyUTBaNGRuVzZZOXpHTlpGRkJwcUlZaDNwNXF0S01rSU4rTE5ZS3JCd3VKVmp5c1drM3hEb29QaHlXNit1Vy9CQT09,https://www.myscheme.gov.in/schemes/ismpsscis,2026-07-10,False,64.7
imspesy,Indira Mahila Shakti Udyam Protsahan Yojana,women_child,women_and_child,Women and Child Development Department,Women and Child Development,18,,,,,,,,,Rajasthan,female,False,"1. The applicant's age should be 18 years or more. 1. The applicant should be a permanent resident of Rajasthan. 1. The women's self-help group or group of these groups (cluster/ federation) must be registered under any department of the state government and in case of cluster/federation of groups, it will be necessary to be registered under the Cooperative Act as per the rules.",This scheme launched by the Rajasthan government to empower women by providing them with loans and other financial assistance to start or expand their businesses,"₹ 50,00,000",5000000.0,₹,aadhaar;bank_passbook,https://ssoapps.rajasthan.gov.in/imsupy/Introduction.aspx,https://www.myscheme.gov.in/schemes/imspesy,2026-07-10,False,70.6
kvyoj,Khadi Gramodyog Vikas Yojana: Khadi Vikas Yojana,other,other,"Ministry Of Micro, Small and Medium Enterprises","Ministry Of Micro, Small and Medium Enterprises",18,55,,,,,self_employed;unemployed,,,All India,any,True,"1. The applicant must be a Khadi artisan or Khadi Institution registered with KVIC or KVIB. 1. The applicant must be between 18 to 55 years of age. 1. The applicant must have a valid Aadhaar card or government-issued ID. 1. One person per family is eligible under the scheme. 1. The applicant should not have availed benefits from any other government scheme for the same purpose. 1. Preference is given to SC/ST, women, unemployed youth, and BPL category applicants. 1. The beneficiaries may be identified by KVIC, KVIBs, NGOs, DICs, FPOs, or Khadi Institutions.","The scheme aims to increase productivity and wages of Khadi artisans, improve production infrastructure, boost employment and sales, revive traditional rural skills, modernize sales outlets, and pr...","₹1,20,000",120000.0,₹,aadhaar;bank_passbook;caste_certificate,https://www.dcmsme.gov.in/ebook/MSMESchemebooklet2025-26.pdf,https://www.myscheme.gov.in/schemes/kvyoj,2026-07-10,False,82.4
kuksy,Krishak Utpadak Kshati Sahayata Yojana,agriculture,agriculture,Agriculture Department,Agriculture,18,,,,,,farmer,,,Uttarakhand,any,False,1. The applicant must be a resident of Uttarakhand. 1. The applicant must be a minimum of 18 years of age to submit and receive a claim.,"The scheme aims to provide financial assistance and compensation to farmers in the event of loss or damage to crops, livestock, or agricultural land caused by fire, flood, or heavy rains in the not...",Damage caused by fire accidents to...,,₹,aadhaar;bank_passbook;caste_certificate;ration_card;land_record,https://uk.gov.in/department92/library_file/file-30-01-2025-04-25-16.pdf,https://www.myscheme.gov.in/schemes/kuksy,2026-07-10,False,76.5
msasy,Mukhyamantri Shramik Aujaar Sahayata Yojana,other,other,Labour Department,Labour,18,,,,,,daily_wage,,,Chhattisgarh,any,False,1. The Applicant must be a native of Chhattisgarh. 1. The beneficiary should be a construction worker. 1. The beneficiary should be registered under the Building and Construction Workers Welfare Board. 1. The age of the registered worker should not be less than 18 years.,"The Labor Department of Chhattisgarh launched this scheme on October 1, 2010, under the ""Building and Construction Workers Welfare Board."" Tool kits are distributed to construction workers on an an...",> **Tool kits can given free...,,₹,aadhaar;bank_passbook,https://cglabour.nic.in/BOCW/BOCADHISUCHNA/193719_10_05_2019.pdf,https://www.myscheme.gov.in/schemes/msasy,2026-07-10,False,76.5
nsjbsy,Nirman Shramik Jeevan va Bhavishya Suraksha Yojana,pension,pension,Labour Department,Labour,,,,,,,daily_wage,,,Rajasthan,any,False,1. The applicant must be registered as a beneficiary with the Building and Other Construction Workers Welfare Board. 2. The applicant must have a savings bank account in their name. 3. The applicant must be eligible for membership under the following schemes: - Pradhan Mantri Suraksha Bima Yojana (PMSBY) - Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY) - Atal Pension Yojana (APY) 4. The applicant must provide consent to their bank for the deduction of premium/contribution from their savings account. 5. The applicant must have gotten the annual premium/contribution amount deducted from their savings account.,"The scheme ""Nirman Shramik Jeevan va Bhavishya Suraksha Yojana"" aims to provide financial security and social protection through insurance and pension benefits to registered construction workers an...",₹12,12.0,₹,aadhaar;bank_passbook,https://labour.rajasthan.gov.in/Schemes.aspx,https://www.myscheme.gov.in/schemes/nsjbsy,2026-07-10,False,64.7
vsrksk,Operation/implementation of Vidhik Seva Rath,other,other,Law Department,Law,,,,,,,,,,Uttarakhand,any,False,"1. The applicant must be a resident of Uttarakhand. 1. All residents of the areas visited by the van can benefit from these programs. The team members assigned to the tour inform the public about the schemes using a projector installed in the ""Vidhik Seva Rath"".","The scheme aims to spread legal awareness and provide information about welfare schemes to people in both urban and remote rural areas, ensuring that citizens are informed about their rights and av...","- Under the public awareness programme,...",,₹,aadhaar;bank_passbook;ration_card;domicile_certificate;caste_certificate,https://uk.gov.in/department92/library_file/file-04-12-2023-06-02-23.pdf,https://www.myscheme.gov.in/schemes/vsrksk,2026-07-10,False,64.7
pmsfbcs,Pre-Matric Scholarship for Backward Class Students,education,education,Backward Classes and Minorities Welfare Department,Backward Classes and Minorities Welfare,,,,,,1.0,student,obc,,Madhya Pradesh,any,False,1. The applicant should be a student of classes 6th to 10th. 1. The parents/guardians of the applicant should not be income taxpayers. 1. The parents/guardians of the applicant should not own more than 10 acres of land.,"The scheme ""Pre-Matric Scholarship for Backward Class Students"" aims to provide financial assistance to backward class students studying at the pre-matriculation level in India. Monthly scholarship...",₹20,20.0,₹,bank_passbook;caste_certificate;income_certificate,https://bcwelfare.mp.nic.in/Public/OBC/PreMatric.aspx,https://www.myscheme.gov.in/schemes/pmsfbcs,2026-07-10,False,70.6
skhvc,Safai Karmakaar Ke Putr/Putri Hetu Vishesh Coaching Yojana,education,education,Labour Department,Labour,,,,,,,student;daily_wage,,,Chhattisgarh,any,False,"1. Children of registered sanitation workers will qualify for benefits. 1. If a student is eligible for assistance from multiple government departments or institutions, they may choose the program that is most beneficial to them, but they cannot receive benefits from two programs simultaneously.","Chhattisgarh State Government started a scheme ""Safai Karmakaar Ke Putr/Putri Hetu Vishesh Coaching Yojana"" for unorganized worker on 28 April 2012.",> The fee for special coaching...,,₹,aadhaar;ration_card,https://cglabour.nic.in/ShramAyuktNew/safai%20karmakaar%20ke%20putrputree%20hetu%20vishesh%20coching%20yojana.pdf,https://www.myscheme.gov.in/schemes/skhvc,2026-07-10,False,70.6
seloanwomen,"Self-Employment loan scheme for Minority Widows, Divorcees / Abandoned Women",pension,pension,Directorate of Minority Welfare,Directorate of Minority Welfare,20,60,250000.0,,,,,,,Kerala,female,False,"- The applicant must belong to a minority community (Muslim, Christian, Buddhist, Sikh, Parsi, Jain). - The applicant should be a widow, divorced woman, or abandoned woman. - The applicant's age should be between 20 and 60 years. - The applicant's family's annual income should not exceed ₹2,50,000/-. > **Preference/Priority** - Priority will be given to mothers of children below 18 years of age. - Priority will be given to widows from families identified through the extreme poverty identification survey.","The scheme aims to provide self-employment loans to women from minority communities. Financial assistance with a 20% subsidy is provided to widows, divorced women, and abandoned women from minority...","₹1,00,000",100000.0,₹,aadhaar;income_certificate;land_record;ration_card,https://ksmdfc.org/wp-content/uploads/2025/02/Widows-application-form.pdf,https://www.myscheme.gov.in/schemes/seloanwomen,2026-07-10,False,82.4
supply-of-uniform,"Supply of School Uniform , Shoes Socks to all Students for Std IX to XII",education,education,Education Department,Education,,,,,,,student,,,Dadra and Nagar Haveli and Daman and Diu,any,False,1. The applicant should be a student. 2. The applicant should be studying in class 9th to 12th. 3. The applicant should be studying in a government school in UT of Dadra & Nagar Haveli and Daman & Diu.,"Supply of School Uniform, Shoes Socks to all Students for IX to XII studying in Govt Schools",1. Fosters a sense of...,1.0,₹,aadhaar;bank_passbook;caste_certificate;income_certificate;education_marksheet,https://ddd.gov.in/directorate-of-education/,https://www.myscheme.gov.in/schemes/supply-of-uniform,2026-07-10,False,70.6
supply-of-textbook,Supply of Textbook to all Students for IX to XII,education,education,Education Department,Education,,,,,,,student,,,Dadra and Nagar Haveli and Daman and Diu,any,False,1. The applicant should be a student. 2. The applicant should be studying in class 9th to 12th. 3. The applicant should be studying in a government school in UT of Dadra & Nagar Haveli and Daman & Diu.,Supply of Textbook to all Students for IX to XII studying in Govt Schools,1. Ensures timely availability of prescribed...,1.0,₹,aadhaar;bank_passbook;caste_certificate;income_certificate;education_marksheet,https://ddd.gov.in/directorate-of-education/,https://www.myscheme.gov.in/schemes/supply-of-textbook,2026-07-10,False,70.6
wbisaito,The West Bengal Incentive Scheme: Additional Incentive for Adventure Tour Operators,other,other,Tourism Department,Tourism,,,,,,,,,,West Bengal,any,False,"- The Scheme shall be generally applicable to all eligible tourism projects/units/expansion projects of existing units set up on or after the effective date (i.e. 22nd February, 2021) of this incentive scheme. Or, - Eligible Hotel Units who started their commercial operation on or after 7th January, 2015 to 31st December, 2020 but could not apply under previous scheme 2015 due to absence of a Bar in the Hotel. - The units may be in the private sector, co-operative sector, joint sector as also companies/undertakings owned or managed by the State Government. - The project should be covered by a detailed feasibility report/project prepared for the purpose. - The project should have been approved and sanctioned by a Central Financial Institution or Commercial Banks or State Financial Institutions. - The unit should hold an Registration Certificate, Date of Commencement Certificate and Eligibility Certificate issued by the West Bengal Tourism Development Corporation Limited on satisfaction of arrangement.","“Additional Incentive for Adventure Tour Operators” incentives under the “WBIS” scheme by the Dept. of Tourism, Government of West Bengal, aims to provide reimbursement incentives with SGST payment...",**Group A:** 60% **Group B:** 70%...,70.0,₹,land_record,https://westbengalincentive21.wb.gov.in/files/contents/notification_wbis_2021.pdf,https://www.myscheme.gov.in/schemes/wbisaito,2026-07-10,False,64.7
wbisaige,The West Bengal Incentive Scheme: Additional Incentive on Generation of Employment,employment,employment,Tourism Department,Tourism,,,,,,,,,,West Bengal,any,False,"- The Scheme shall be generally applicable to all eligible tourism projects/units/expansion projects of existing units set up on or after the effective date (i.e. 22nd February, 2021) of this incentive scheme. Or, - Eligible Hotel Units who started their commercial operation on or after 7th January, 2015 to 31st December, 2020 but could not apply under previous scheme 2015 due to absence of a Bar in the Hotel. - The units may be in the private sector, co-operative sector, joint sector as also companies/undertakings owned or managed by the State Government. - The project should be covered by a detailed feasibility report/project prepared for the purpose. - The project should have been approved and sanctioned by a Central Financial Institution or Commercial Banks or State Financial Institutions. - The unit should hold an Registration Certificate, Date of Commencement Certificate and Eligibility Certificate issued by the West Bengal Tourism Development Corporation Limited on satisfaction of arrangement.","“Additional Incentive on Generation of Employment” incentives under “The West Bengal Incentive Scheme” scheme by the Dept. of Tourism, Government of West Bengal, aims to provide reimbursement of ex...","- Group A, B, C &...",,₹,land_record,https://westbengalincentive21.wb.gov.in/files/contents/notification_wbis_2021.pdf,https://www.myscheme.gov.in/schemes/wbisaige,2026-07-10,False,64.7
